id,team,name,position,count,mean,std,min,25%,50%,75%,max,relative_deviation,mode
354,Real Sociedad,Igor Zubeldia,DEF,22,3.863636364,3.833380387,-2,0.25,4.5,7.75,9,99.21690415,8
355,Real Sociedad,Jon Aramburu,DEF,24,4,3.889785956,-3,0.75,4,7,12,97.2446489,0
356,Betis,Youssouf Sabaly,DEF,17,3.470588235,3.223306669,-2,1,3,6,10,92.87493792,3
357,Betis,Ángel Ortiz,DEF,4,0,0,0,0,0,0,0,,0
358,Betis,Sergi Altimira,MED,23,4,2.576114057,0,3,3,5,11,64.40285143,3
359,Betis,Diego Javier Llorente,DEF,26,5.884615385,4.013247294,0,3,5,8.75,17,68.19897363,3
360,Betis,Natan,DEF,21,3.666666667,3.902990307,-2,1,2,6,14,106.4451902,2
361,Betis,Giovani Lo Celso,MED,16,7.25,6.31928266,0,2.75,5.5,10,21,87.16251944,0
362,Betis,Pablo Fornals,MED,16,4.875,3.180670789,1,2.75,3.5,7,12,65.244529,3
363,Betis,Héctor Bellerín,DEF,7,4.714285714,3.817254062,-2,3,5,7.5,9,80.97205585,-2
364,Betis,Antony,DEL,6,7.666666667,5.085928299,0,7,7.5,8,16,66.33819521,7
365,Betis,Adrián San Miguel,POR,10,4.4,3.893013686,-1,2.25,4.5,7.25,11,88.47758376,-1
366,Betis,Marc Bartra,DEF,15,6,4.01781746,-1,4,6,8.5,13,66.96362434,6
367,Betis,Chimy Ávila,DEL,18,2.944444444,2.817429413,0,1.25,2,3,10,95.68628195,2
368,Betis,Ricardo Rodriguez,DEF,13,3.846153846,3.023412913,-1,2,4,4,9,78.60873573,4
369,Betis,Johnny Cardoso,MED,20,5.1,3.782229919,0,2,4,7,15,74.16137095,4
370,Betis,Abde Ezzalzouli,DEL,24,4.291666667,2.510485258,2,2.75,4,5,11,58.49674388,2
371,Betis,Cucho Hernández,DEL,4,5.5,1.732050808,3,5.25,6,6.25,7,31.49183286,6
372,Betis,Isco Alarcón,MED,12,7.583333333,5.451577475,1,3,7,10.25,19,71.88893374,3
373,Betis,Cédric Bakambu,DEL,18,2.555555556,1.756407504,-1,2,2,3.75,6,68.72898929,2
374,Betis,Francisco Vieites,POR,4,4.25,1.707825128,2,3.5,4.5,5.25,6,40.18412065,2
375,Betis,Aitor Ruibal,MED,19,3.210526316,2.859272389,0,2,2,4,10,89.05930393,2
376,Betis,Marc Roca,MED,14,5.357142857,4.343113787,0,3,4,7,16,81.07145735,4
377,Betis,William Carvalho,MED,4,3.75,3.774917218,1,1,2.5,5.25,9,100.6644591,1
378,Betis,Romain Perraud,DEF,20,2.8,3.270280851,-2,1,1.5,5,10,116.7957447,1
379,Betis,Jesús Rodriguez,MED,11,1.454545455,2.583162262,0,0,0,2,7,177.5924055,0
380,Girona,Yaser Asprilla,MED,17,3.764705882,2.750668368,1,2,3,5,11,73.06462852,2
381,Girona,Miguel Gutiérrez,DEF,24,5.208333333,5.532348873,-3,1.75,4,8,18,106.2210984,4
382,Girona,Ladislav Krejcí,DEF,19,3.894736842,3.107244883,0,1.5,3,5.5,11,79.78061185,0
383,Girona,David López,DEF,23,4.130434783,4.330697486,-2,1,3,7,17,104.8484654,2
384,Girona,Viktor Tsygankov,MED,16,5.5,4.746928832,0,2,3.5,8.25,15,86.30779694,2
385,Girona,Arthur Melo,MED,4,3,1.154700538,2,2,3,4,4,38.49001795,2
386,Girona,Arnau Martínez,DEF,23,4.173913043,3.651303303,0,2,4,6,15,87.47914163,4
387,Girona,Bryan Gil,MED,25,4.8,4.48144322,0,2,4,5,18,93.36340041,4
388,Girona,Juan Carlos Martín,POR,1,-3,,-3,-3,-3,-3,-3,,-3
389,Girona,Gabriel Misehouy,MED,8,3.75,2.549509757,2,2,2.5,4.5,9,67.98692685,2
390,Girona,Juanpe Ramírez,DEF,9,3.222222222,3.527668415,0,1,2,3,11,109.4793646,2
391,Girona,Alejandro Francés,DEF,11,2.909090909,2.879393876,-1,1,2,5.5,8,98.97916447,2
392,Girona,Yangel Herrera,MED,19,6.210526316,4.82561392,1,3,4,9.5,15,77.70056312,3
393,Girona,Daley Blind,DEF,23,4.086956522,3.515072009,-1,1.5,3,7,10,86.00708106,2
394,Girona,Oriol Romeu,MED,17,2.470588235,1.73629084,-1,1,2,4,5,70.27843878,2
395,Girona,Cristian Portu,MED,16,1.6875,1.447699324,0,1,2,2,6,85.78958958,2
396,Girona,Arnaut Danjuma,DEL,20,3.3,2.95759504,-2,1.75,3,4.25,9,89.62409212,2
397,Girona,Abel Ruiz,DEL,17,3.823529412,3.147127542,0,2,3,4,11,82.30948956,2
398,Girona,Donny van de Beek,MED,21,4.095238095,2.947961362,1,2,3,5,11,71.98510302,2
399,Girona,Jhon Solís,MED,13,2.076923077,2.660248687,-1,1,2,2,10,128.0860479,2
400,Girona,Bojan Miovski,DEL,14,2.928571429,4.514323967,0,1,2,2.75,18,154.1476477,1
401,Girona,Jastin,MED,,0,0,0,0,0,0,0,0,0
402,Girona,Paulo Gazzaniga,POR,27,5.592592593,3.775011556,1,3,5,7,16,67.50020664,5
403,Girona,Christian Stuani,DEL,21,3.238095238,2.808999144,0,1,2,6,9,86.74850297,2
404,Girona,Iván Martín,MED,23,4.173913043,2.405527232,1,2,4,6,9,57.63242327,2
405,Celta,Mihailo Ristic,DEF,5,3.2,2.167948339,1,2,2,5,6,67.74838559,2
406,Celta,Hugo Álvarez ,MED,22,3.5,4.020779361,-1,0.25,2,5.5,13,114.8794103,0
407,Celta,Carlos Dominguez,DEF,12,2.583333333,1.975225342,-1,1.75,2.5,3.25,7,76.46033582,2
408,Celta,Vicente Guaita,POR,23,6.304347826,3.430276726,2,3,6,8.5,14,54.411286,3
409,Celta,Óscar Mingueza,DEF,24,4.5,4.46240333,-5,1,4,8.25,12,99.16451844,1
410,Celta,Fer López,MED,7,2.285714286,2.751622898,0,0,1,4.5,6,120.3835018,0
411,Celta,Alfonso González,MED,16,4,4.335896678,0,2,2,3.5,15,108.3974169,2
412,Celta,Iván Villar,POR,4,5.5,3.415650255,2,3.5,5,7,10,62.10273191,2
413,Celta,Javi Rodríguez,DEF,25,3.4,3.291402943,-1,1,2,4,13,96.80596891,1
414,Celta,Jailson,DEF,10,2.9,1.728840331,0,2,3,4,5,59.61518382,2
415,Celta,Borja Iglesias,DEL,27,3.888888889,3.262058497,0,2,2,6,11,83.88150422,2
416,Celta,Sergio Carreira,DEF,14,4.071428571,2.813819898,0,2,4.5,5.75,9,69.11136591,2
417,Celta,Ilaix Moriba,MED,23,3,2.923260944,-1,1,2,4,12,97.44203146,2
418,Celta,Carl Starfelt,DEF,24,4.375,3.200713236,1,2,3,8,10,73.15915967,1
419,Celta,Hugo Sotelo,MED,18,3.333333333,1.414213562,0,3,4,4,6,42.42640687,4
420,Celta,Iker Losada,MED,16,2.625,2.446085308,-1,2,2,2,9,93.1842022,2
421,Celta,Marcos Alonso,DEF,21,5.142857143,4.788378789,-1,1,4,9,16,93.10736534,1
422,Celta,Marc Vidal,POR,,0,0,0,0,0,0,0,0,0
423,Celta,Franco Cervi,MED,6,2,0.894427191,1,1.25,2,2.75,3,44.72135955,1
424,Celta,Javier Manquillo,DEF,10,2.2,2.347575582,-1,1,2,2.75,7,106.707981,2
425,Celta,Damián Rodríguez,MED,13,1.769230769,1.640825308,0,0,2,3,5,92.74230003,0
426,Celta,Pablo Durán,DEL,17,4.176470588,3.89286678,0,2,3,7,15,93.20948628,2
427,Celta,Iago Aspas,DEL,20,6.25,4.153311931,-1,2.75,7,8.5,14,66.4529909,8
428,Celta,Fran Beltrán,MED,23,3.956521739,2.305689817,0,2.5,4,5,10,58.2756767,3
429,Celta,Williot Swedberg,MED,24,4,3.464101615,-1,2,3,5.25,14,86.60254038,2
430,Barcelona,Íñigo Martínez,DEF,20,5.85,3.391552975,1,3,5.5,8,14,57.97526452,3
431,Barcelona,Dani Olmo,DEL,16,7.25,6.060803027,2,2,4,12.25,19,83.59728313,2
432,Barcelona,Héctor Fort,DEF,12,2.75,2.261335084,0,1.75,2,3,7,82.2303667,2
433,Barcelona,Pau Víctor,DEL,15,2.533333333,2.850229732,0,1,2,2.5,10,112.5090684,1
434,Barcelona,Wojciech Szczesny,POR,6,8.833333333,2.926886856,6,6.25,8.5,10.75,13,33.13456818,6
435,Barcelona,Lamine Yamal,DEL,23,10.2173913,3.316028865,3,7.5,11,12.5,15,32.45475059,12
436,Barcelona,Pablo Gavi,MED,14,2.428571429,2.31098666,0,1,2,3,8,95.15827422,2
437,Barcelona,Marc-André ter Stegen,POR,6,6.166666667,2.316606714,3,4.5,6.5,7.75,9,37.56659536,3
438,Barcelona,Pedri González,MED,25,7.56,3.819685851,2,5,7,9,16,50.52494512,7
439,Barcelona,Iñaki Peña,POR,15,6.466666667,3.58302878,-1,4,6,9.5,12,55.40766155,4
440,Barcelona,Pablo Torre,MED,8,5.375,5.878228596,0,2,2,8,15,109.3623925,2
441,Barcelona,Ferrán Torres,DEL,19,4.315789474,3.87373824,-2,2,3,6,13,89.75734947,2
442,Barcelona,Raphinha,DEL,26,9.615384615,6.027118204,0,6,9.5,12.75,26,62.68202932,6
443,Barcelona,Alejandro Balde,DEF,23,5.304347826,3.54753157,-1,2.5,5,7.5,13,66.87969352,2
444,Barcelona,Gerard Martín,DEF,16,2.4375,4.178815622,-1,0,2,3,17,171.4385896,0
445,Barcelona,Ronald Araújo,DEF,4,6.25,8.539125638,1,1.75,2.5,7,19,136.6260102,1
446,Barcelona,Frenkie de Jong,MED,15,3.4,4.256088076,-3,2,2,3.5,14,125.1790611,2
447,Barcelona,Andreas Christensen,DEF,1,0,,0,0,0,0,0,,0
448,Barcelona,Jules Koundé,DEF,26,5.153846154,3.833455962,-1,2.25,5,7,14,74.38048882,2
449,Barcelona,Fermín López,MED,17,3.823529412,6.187035782,-1,2,2,4,27,161.814782,2
450,Barcelona,Marc Bernal,MED,3,0,0,0,0,0,0,0,,0
451,Barcelona,Marc Casadó,MED,22,5,3.338091842,1,3,4,6.75,13,66.76183683,3
452,Barcelona,Ansu Fati,DEL,4,2.5,0.577350269,2,2,2.5,3,3,23.09401077,2
453,Barcelona,Pau Cubarsí,DEF,26,5.384615385,4.040563556,-2,2,5,8.5,13,75.03903746,2
454,Barcelona,Eric García,DEF,17,3.882352941,3.333210782,-1,2,3,4,12,85.85542923,2
455,Barcelona,Robert Lewandowski,DEL,25,8.84,5.580322571,2,4,9,13,20,63.12582094,2
456,Alavés,Carlos Martín,DEL,18,4.055555556,3.438060709,-1,2,2.5,5.75,11,84.77409967,2
457,Alavés,Carles Aleñá,MED,14,3.857142857,2.656114654,1,2,3,5.75,10,68.86223177,2
458,Alavés,Toni Martinez,DEL,21,2.523809524,2.293884208,0,1,2,3,9,90.88975166,1
459,Alavés,Pau Cabanes,DEL,13,2.692307692,3.224505528,0,1,2,3,13,119.7673482,2
460,Alavés,Santiago Mouriño,DEF,16,3.5,2.394437999,0,2,3,5,9,68.41251427,3
461,Alavés,Aleksandar Sedlar,DEF,7,2.857142857,1.573591585,1,2,3,3,6,55.07570547,3
462,Alavés,Hugo Novoa,DEF,5,1.4,0.894427191,0,1,2,2,2,63.8876565,2
463,Alavés,Jon Guridi,MED,23,3.52173913,3.072895662,0,2,3,4.5,12,87.255062,2
464,Alavés,Antonio Blanco,MED,25,3.68,3.023794526,0,2,3,6,10,82.1683295,2
465,Alavés,Kike García,DEL,26,5,4.147288271,1,2.25,4,6.5,20,82.94576541,2
466,Alavés,Tomás Conechny,MED,14,2.714285714,2.367360472,0,1,2,4,8,87.21854371,0
467,Alavés,Moussa Diarra,DEF,22,1.909090909,2.180194201,-1,0,2,3.75,5,114.2006486,-1
468,Alavés,Carlos Vicente,MED,26,5.807692308,3.919379857,1,3,5,8,16,67.48601078,2
469,Alavés,Carlos Benavidez,MED,11,3.090909091,4.526688535,-1,1.5,2,3,16,146.4516879,2
470,Alavés,Adrián Pica,DEF,8,2.875,2.031009601,0,1.75,2.5,4.25,6,70.64381221,2
471,Alavés,Ander Guevara,MED,24,3.416666667,1.791687732,1,2,3,5,7,52.43964092,2
472,Alavés,Abdel Abqar,DEF,25,3.44,3.392147796,-2,0,4,5,9,98.60894754,0
473,Alavés,Jesús Owono,POR,5,2,2.645751311,-2,1,3,3,5,132.2875656,3
474,Alavés,Nahuel Tenaglia,DEF,24,3.708333333,3.519871127,-3,2,4,6.25,9,94.9178731,2
475,Alavés,Manu Sánchez,DEF,23,2.086956522,3.764825765,-2,0,1,3,15,180.3979013,0
476,Alavés,Joan Jordan,MED,16,5.125,4.645786622,0,2,3.5,7.25,17,90.64949506,2
477,Alavés,Asier Villalibre,DEL,13,1.846153846,1.951330907,0,1,1,2,8,105.6970908,1
478,Alavés,Antonio Sivera,POR,23,3.913043478,3.918638951,-2,0.5,5,6.5,13,100.1429954,5
