,team,name,position,price_trend,count,mean,std,min,25%,50%,75%,max,relative_deviation,mode
37,Villarreal,Thierno Barry,DEL,upward,27.0,4.481481481481482,4.518086476939702,0.0,1.0,3.0,7.0,18.0,100.81680568377847,1.0
38,Villarreal,Santi Comesaña,MED,upward,26.0,4.384615384615385,3.544877127088307,0.0,2.0,3.0,5.0,13.0,80.8480748283298,3.0
39,Villarreal,Eric Bailly,DEF,downward,10.0,1.6,2.796823595120404,-4.0,0.25,2.0,3.0,6.0,174.80147469502523,2.0
40,Villarreal,Ayoze Pérez,DEL,upward,21.0,6.809523809523809,4.6110633005744734,1.0,2.0,6.0,11.0,15.0,67.71491560284191,2.0
41,Villarreal,Diego Conde,POR,upward,21.0,5.571428571428571,3.2491757196468853,0.0,3.0,6.0,7.0,12.0,58.31853855776461,7.0
42,Villarreal,Gerard Moreno,DEL,upward,13.0,5.615384615384615,3.5948681370916686,1.0,2.0,5.0,9.0,11.0,64.01819970163245,2.0
43,Villarreal,Dani Parejo,MED,upward,26.0,4.230769230769231,4.15025485779071,0.0,2.0,3.0,4.0,18.0,98.09693300232587,2.0
44,Villarreal,Willy Kambwala,DEF,upward,11.0,3.727272727272727,3.133397807202561,-2.0,2.5,4.0,4.5,9.0,84.06677043714188,4.0
45,Villarreal,Luiz Junior,POR,upward,8.0,5.5,3.5050983275386565,1.0,3.5,5.0,7.0,11.0,63.72906050070285,5.0
46,Villarreal,Tajon Buchanan,MED,downward,6.0,3.1666666666666665,3.920034013457877,1.0,1.0,1.5,2.75,11.0,123.79054779340663,1.0
47,Villarreal,Álex Baena,MED,upward,26.0,7.5,4.356604182158393,0.0,4.0,7.0,10.75,15.0,58.088055762111914,7.0
48,Osasuna,Abel Bretones,DEF,upward,27.0,3.740740740740741,2.5659395129358726,0.0,2.0,3.0,5.0,9.0,68.59442262303817,2.0
49,Osasuna,Lucas Torró,MED,upward,26.0,4.230769230769231,3.5811472162723756,0.0,1.0,3.0,5.75,14.0,84.64529783916525,1.0
50,Osasuna,Pablo Ibáñez,MED,upward,20.0,2.3,2.2501461940809184,0.0,1.0,2.0,2.25,8.0,97.83244322090951,1.0
51,Osasuna,Juan Cruz,DEF,upward,19.0,2.736842105263158,2.86438097371371,-2.0,1.0,2.0,4.5,9.0,104.66007403953938,1.0
52,Osasuna,Jesús Areso,DEF,upward,27.0,3.111111111111111,3.5445877847928333,-2.0,0.0,3.0,6.0,12.0,113.9331787969125,-1.0
53,Osasuna,Rubén Peña,DEF,upward,21.0,1.9047619047619047,2.0224925687072846,-1.0,1.0,1.0,2.0,7.0,106.18085985713243,1.0
54,Osasuna,Kike Barja,MED,downward,9.0,1.8888888888888888,0.927960727138337,0.0,2.0,2.0,2.0,3.0,49.12733261320608,2.0
55,Osasuna,Aitor Fernández,POR,downward,1.0,13.0,,13.0,13.0,13.0,13.0,13.0,,13.0
56,Osasuna,Aimar Oroz,MED,upward,28.0,4.785714285714286,4.003305512505263,0.0,2.0,3.5,6.0,15.0,83.65115996279656,3.0
57,Osasuna,Alejandro Catena,DEF,upward,27.0,4.444444444444445,3.445547107760228,-2.0,2.5,4.0,6.0,11.0,77.52480992460514,4.0
58,Osasuna,Boyomo,DEF,upward,28.0,4.571428571428571,3.3046383948376135,-1.0,2.0,4.0,7.0,11.0,72.2889648870728,1.0
